date,cases_br,deaths_br,deaths_br_0_19,deaths_br_20_29,deaths_br_30_39,deaths_br_40_49,deaths_br_50_59,deaths_br_over_59,vaccine_first_dose_br,rt_br,rt_25_br,rt_975_br,cases_campina_grande,deaths_campina_grande,rt_campina_grande,rt_25_campina_grande,rt_975_campina_grande,mobility_recreation_campina_grande,mobility_grocery_campina_grande,mobility_parks_campina_grande,mobility_transit_campina_grande,mobility_workplace_campina_grande,mobility_residence_campina_grande,cases_piracicaba,deaths_piracicaba,rt_piracicaba,rt_25_piracicaba,rt_975_piracicaba,mobility_recreation_piracicaba,mobility_grocery_piracicaba,mobility_parks_piracicaba,mobility_transit_piracicaba,mobility_workplace_piracicaba,mobility_residence_piracicaba,cases_rio_branco,deaths_rio_branco,rt_rio_branco,rt_25_rio_branco,rt_975_rio_branco,mobility_recreation_rio_branco,mobility_grocery_rio_branco,mobility_parks_rio_branco,mobility_transit_rio_branco,mobility_workplace_rio_branco,mobility_residence_rio_branco,cases_santos,deaths_santos,rt_santos,rt_25_santos,rt_975_santos,mobility_recreation_santos,mobility_grocery_santos,mobility_parks_santos,mobility_transit_santos,mobility_workplace_santos,mobility_residence_santos,cases_sao_jose_do_rio_preto,deaths_sao_jose_do_rio_preto,rt_sao_jose_do_rio_preto,rt_25_sao_jose_do_rio_preto,rt_975_sao_jose_do_rio_preto,mobility_recreation_sao_jose_do_rio_preto,mobility_grocery_sao_jose_do_rio_preto,mobility_parks_sao_jose_do_rio_preto,mobility_transit_sao_jose_do_rio_preto,mobility_workplace_sao_jose_do_rio_preto,mobility_residence_sao_jose_do_rio_preto
2020-02-26,1.0,0,0,0,0,0,0,0,,,,,,0,,,,-26.0,-9.0,-19.0,-12.0,-23.0,2.0,,0,,,,-22.0,-12.0,-39.0,-11.0,-10.0,7.0,,0.0,,,,-15.0,-9.0,-2.0,-18.0,-27.0,6.0,,0,,,,-30.0,-14.0,-30.0,-17.0,-23.0,8.0,,0,,,,-17.0,-8.0,-20.0,-6.0,-5.0,6.0
2020-02-27,0.0,0,0,0,0,0,0,0,,,,,,0,,,,-11.0,5.0,-16.0,-1.0,11.0,0.0,,0,,,,-4.0,10.0,-9.0,-2.0,12.0,0.0,,0.0,,,,-13.0,0.0,-13.0,-8.0,16.0,1.0,,0,,,,-12.0,9.0,-20.0,13.0,11.0,1.0,,0,,,,-4.0,7.0,-4.0,14.0,10.0,0.0
2020-02-28,0.0,0,0,0,0,0,0,1,,,,,,0,,,,-1.0,15.0,-3.0,1.0,15.0,0.0,,0,,,,-7.0,4.0,-15.0,-4.0,15.0,0.0,,0.0,,,,-11.0,1.0,-24.0,-6.0,20.0,0.0,,0,,,,-12.0,0.0,-53.0,-7.0,16.0,1.0,,0,,,,-4.0,7.0,-4.0,6.0,12.0,0.0
2020-02-29,1.0,0,0,0,0,0,0,0,,,,,,0,,,,11.0,30.0,56.0,3.0,4.0,2.0,,0,,,,0.0,5.0,-3.0,-5.0,4.0,3.0,,0.0,,,,-2.0,10.0,-15.0,-2.0,9.0,2.0,,0,,,,-12.0,6.0,-58.0,0.0,4.0,3.0,,0,,,,-1.0,7.0,4.0,2.0,8.0,2.0
2020-03-01,0.0,0,0,0,0,0,0,0,,,,,,0,,,,-12.0,23.0,-25.0,-11.0,-3.0,8.0,,0,,,,2.0,9.0,6.0,-5.0,4.0,3.0,,0.0,,,,-11.0,9.0,-26.0,2.0,0.0,4.0,,0,,,,-28.0,-6.0,-72.0,-38.0,-6.0,6.0,,0,,,,-1.0,7.0,-11.0,4.0,3.0,2.0
2020-03-02,0.0,0,0,0,0,0,0,0,,,,,,0,,,,-6.0,12.0,-20.0,10.0,17.0,0.0,,0,,,,-11.0,-1.0,-11.0,-2.0,17.0,-1.0,,0.0,,,,0.0,9.0,5.0,8.0,26.0,-4.0,,0,,,,-18.0,-2.0,-53.0,8.0,17.0,0.0,,0,,,,-7.0,0.0,1.0,13.0,14.0,-2.0
2020-03-03,0.0,0,0,0,0,0,0,0,,,,,,0,,,,-6.0,13.0,-9.0,8.0,17.0,-1.0,,0,,,,-5.0,2.0,-12.0,-1.0,15.0,-1.0,,0.0,,,,0.0,8.0,-15.0,-1.0,23.0,-3.0,,0,,,,-37.0,-13.0,-68.0,-15.0,-1.0,8.0,,0,,,,-8.0,3.0,1.0,15.0,11.0,-1.0
2020-03-04,2.0,0,0,0,0,0,0,1,,,,,,0,,,,-8.0,10.0,-13.0,10.0,16.0,-1.0,,0,,,,-4.0,0.0,-8.0,0.0,17.0,-2.0,,0.0,,,,4.0,6.0,2.0,1.0,24.0,-3.0,,0,,,,-7.0,7.0,-42.0,1.0,20.0,-1.0,,0,,,,-2.0,2.0,2.0,17.0,14.0,-2.0
2020-03-05,0.0,0,0,0,0,0,0,0,,,,,,0,,,,-2.0,16.0,-4.0,11.0,16.0,-2.0,,0,,,,1.0,10.0,6.0,0.0,18.0,-3.0,,0.0,,,,1.0,5.0,-4.0,8.0,24.0,-2.0,,0,,,,-3.0,13.0,-38.0,13.0,20.0,-3.0,,0,,,,0.0,9.0,0.0,18.0,15.0,-2.0
2020-03-06,9.0,0,0,0,0,0,0,0,,,,,,0,,,,6.0,23.0,-5.0,12.0,19.0,-1.0,,0,,,,6.0,10.0,8.0,4.0,21.0,-3.0,,0.0,,,,2.0,9.0,-13.0,14.0,27.0,-3.0,,0,,,,3.0,8.0,-35.0,19.0,23.0,-3.0,,0,,,,4.0,10.0,13.0,21.0,17.0,-3.0
