date,cases,deaths,deaths_0_19,deaths_20_29,deaths_30_39,deaths_40_49,deaths_50_59,deaths_over_59,vaccine_first_dose,vaccine_second_dose,vaccine_third_dose,occupancy_infirmary,occupancy_icu,occupancy_infirmary_covid,occupancy_icu_covid,occupancy_percentage_infirmary,occupancy_percentage_icu,occupancy_percentage_infirmary_covid,occupancy_percentage_icu_covid,total_beds_infirmary,total_beds_icu,total_beds_infirmary_covid,total_beds_icu_covid,rt,rt_25,rt_975,mobility_recreation,mobility_grocery,mobility_parks,mobility_transit,mobility_workplace,mobility_residence
2020-03-18,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-25.0,14.0,-57.0,-2.0,2.0,5.0
2020-03-19,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-25.0,7.0,-51.0,-3.0,-5.0,7.0
2020-03-20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-75.0,-25.0,-68.0,-34.0,-31.0,20.0
2020-03-21,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-85.0,-35.0,-81.0,-54.0,-47.0,22.0
2020-03-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-89.0,-87.0,-89.0,-65.0,-48.0,22.0
2020-03-23,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-83.0,-35.0,-81.0,-63.0,-55.0,27.0
2020-03-24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-85.0,-44.0,-83.0,-68.0,-63.0,30.0
2020-03-25,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-84.0,-47.0,-83.0,-68.0,-64.0,30.0
2020-03-26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-83.0,-42.0,-78.0,-65.0,-63.0,29.0
2020-03-27,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-85.0,-42.0,-78.0,-63.0,-61.0,31.0
2020-03-28,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-86.0,-38.0,-73.0,-62.0,-55.0,22.0
2020-03-29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-88.0,-87.0,-87.0,-71.0,-47.0,21.0
2020-03-30,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-81.0,-37.0,-79.0,-62.0,-58.0,26.0
2020-03-31,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-80.0,-38.0,-76.0,-63.0,-58.0,27.0
2020-04-01,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-79.0,-37.0,-77.0,-60.0,-57.0,26.0
2020-04-02,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-78.0,-34.0,-69.0,-58.0,-57.0,25.0
2020-04-03,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-80.0,-34.0,-75.0,-56.0,-55.0,28.0
2020-04-04,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-82.0,-29.0,-78.0,-55.0,-48.0,20.0
2020-04-05,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-85.0,-84.0,-83.0,-63.0,-41.0,18.0
2020-04-06,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-76.0,-32.0,-77.0,-57.0,-51.0,24.0
2020-04-07,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-72.0,-28.0,-72.0,-53.0,-49.0,23.0
2020-04-08,3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,-70.0,-23.0,-74.0,-51.0,-47.0,21.0
2020-04-09,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.21689784670005,0.761335138345035,1.80521421004004,-66.0,1.0,-68.0,-45.0,-46.0,18.0
2020-04-10,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.04882629777416,0.643383405775262,1.56957140466753,-89.0,-89.0,-82.0,-73.0,-82.0,35.0
2020-04-11,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.780590602350096,0.453454186403828,1.20262049179277,-77.0,-10.0,-75.0,-49.0,-44.0,18.0
2020-04-12,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,0.734068870783638,0.41451147939253,1.15414901530627,-82.0,-84.0,-82.0,-56.0,-29.0,13.0
2020-04-13,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.615842729872669,0.316580896577352,1.0296676734946,-67.0,-35.0,-69.0,-47.0,-40.0,19.0
2020-04-14,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.660530857621887,0.334450514053987,1.10952246906449,-67.0,-35.0,-72.0,-50.0,-41.0,21.0
2020-04-15,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.610135386619015,0.287158862478967,1.06838406475875,-66.0,-32.0,-70.0,-45.0,-39.0,20.0
2020-04-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.554033857655153,0.237758100792079,1.01892939788491,-65.0,-29.0,-67.0,-41.0,-39.0,20.0
2020-04-17,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.625266064854589,0.268901750398247,1.15756130464945,-67.0,-30.0,-64.0,-42.0,-37.0,22.0
