date,decree_summary,flexibilization
2020-03-16,"""Decreto 436/2020. Um decreto meio efetivo, meio preventivo, que decreta o fechamento de escolas (a partir do dia 20) e suspende eventos com mais de 50 pessoas. Muitas outras recomendações e medidas preventivas também.""",False
2020-03-18,"""Decreto 445/2020. Situação de emergência e fechamento do comércio.""",False
2020-03-20,"""Decreto 461/2020. Suspensão do transporte intermunicipal, fechamento de lojas de conveniência.""",False
2020-03-23,"""Decretos 462 e 464/2020. Toque de recolher, suspensão do atendimento presencial em bancos e da rodoviária municipal.""",False
2020-04-01,"""Decreto 489/2020. Liberação de padarias, açougues e peixarias.""",True
2020-04-06,"""Decreto 502/2020. Liberação de oficinas mecânicas, clínicas médicas, veterinárias e pet shops.""",True
2020-04-08,"""Decreto 506/2020. Novas regras sobre abertura de serviços de saúde de urgência, emergência e internação, farmácias, abastecimento de postos de combustível, distribuidora de água e gás. Comércios alimentícios são autorizados a abrir em horário especial no feriado de páscoa.""",True
2020-04-09,"""Decreto 546/2020. Liberação da indústria e construção civil.""",True
2020-04-15,"""Suspensão do toque de recolher por habeas corpus."" ",True
2020-04-18,"""Decreto 566/2020. Reabertura do comércio.""",True
2020-04-22,"""Decreto 578/2020. Liberação de feiras livres, hotéis e salões de beleza.""",True
2020-04-28,"""Decreto 20.189. Uso obrigatório de máscaras.""",False
2020-05-08,"""Decreto 637/2020. Liberação do funcionamento de shopping centers (bem como de suas lojas e serviços de alimentação) e reuniões religiosas.""",True
2020-05-15,"""Portaria 049/2020. Liberação do funcionamento de academias, incluindo aquelas que funcionam em condomínios, a partir de 18/05/2020, das 6 às 21 horas.""",True
2020-05-18,"""Decreto 690/2020. Toque de recolher 23h-5h; multa pelo não uso de máscara e restrições para bares e restaurantes.""",False
2020-05-29,"""Decreto 798/2020. Flexibilização de normas de funcionamento de shopping centers, restaurantes, bares, disk bebidas e serviços de beleza.""",True
2020-06-10,"""Decreto 856/2020. Suspensão do funcionamento de indústrias não essenciais, construção civil, prestação de serviços (empresas e autônomos) e serviços públicos não essenciais.""",False
2020-06-16,"""Decreto 862/2020. Suspensão das atividades de bares por 7 dias, multa de R$ 10 mil para proprietários de chácaras de lazer ou campos de futebol que alugarem espaço para festas ou prática esportiva, obrigatoriedade dos ônibus do transporte coletivo circularem apenas com passageiros sentados, entre outras medidas que regulam os horários de funcionamento (e o próprio funcionamento) de outros tipos de comércios.""",False
2020-06-23,"""Decreto 889/2020. Suspensão das atividades de bares por 7 dias, multa de R$ 10 mil para proprietários de chácaras de lazer ou campos de futebol que alugarem espaço para festas ou prática esportiva, obrigatoriedade dos ônibus do transporte coletivo circularem apenas com passageiros sentados, entre outras medidas.⁣""",False
2020-07-01,"""Decreto 919/2020. Suspensão das atividades de bares por 7 dias, multa de R$ 10 mil para proprietários de chácaras de lazer ou campos de futebol que alugarem espaço para festas ou prática esportiva, obrigatoriedade dos ônibus do transporte coletivo circularem apenas com passageiros sentados, entre outras medidas. Altera o horário de funcionamento de pet shops.""",False
2020-07-06,"""Decreto 943/2020. Bares, restaurantes (setor de alimentação) funcionarão das 8h às 15h (seg a sex);⁣ Multa de R$ 500 por pessoa que aglomerar em espaços públicos (Proibidas aglomerações em espaços públicos de lazer);⁣ Mercados e similares funcionam de segunda a sábado, das 8 às 20h e fica proibida a entrada de crianças menores de 12 anos e mais de uma pessoa por família.⁣ Diminui o número de celebrações religiosas que podem ser realizadas presencialmente.""",False
2020-07-08,"""Decreto 952/2020. Prorroga indeterminadamente os prazos dos decretos 862, 889 e 919/2020. Revoga restrições ao transporte coletivo nos fins de semana impostas no decreto anterior. Autorização de delivery no setor de alimentação aos domingos. Funcionamento de padarias de seg. a sáb. entre 7h e 20h.""",False
2020-07-22,"""Decreto 1004/2020. Dispõe acerca dos horários de funcionamento de comércios do setor de alimentação, feiras livres, pet-shops e salões de beleza. Restrição a até quatro celebrações religiosas por semana e à participação de idosos e crianças nestas celebrações. Reabertura dos bancos, das 11h-16h, provavelmente por causa do auxílio.""",True
2020-07-31,"""Decreto 1053/2020. Regulamenta a realização de eventos drive in (céu aberto) e digitais (lives)""",True
